name,thumbnail
Bench Press (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02891201-Dumbbell-Bench-Press_Chest_thumbnail@3x.jpg
Bench Press (Smith Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/07481201-Smith-Bench-Press_Chest_thumbnail@3x.jpg
Bench Press - Close Grip (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00301201-Barbell-Close-Grip-Bench-Press_Upper-Arms_thumbnail@3x.jpg
Bench Press - Wide Grip (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01221201-Barbell-Wide-Bench-Press_Chest_thumbnail@3x.jpg
Bent Over Row (Band),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08921101-Band-bent_Back-over-row_Back_small_thumbnail@3x.jpg
Bent Over Row (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00271201-Barbell-Bent-Over-Row_Back_thumbnail@3x.jpg
Bent Over Row (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02931201-Dumbbell-Bent-Over-Row_Back_thumbnail@3x.jpg
Bicep Curl (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00311201-Barbell-Curl_Upper-Arms_thumbnail@3x.jpg
Bicep Curl (Cable),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01561201-Cable-Curl_Upper-Arms_thumbnail@3x.jpg
Bicep Curl (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02941201-Dumbbell-Biceps-Curl_Upper-Arms_thumbnail@3x.jpg
Bicep Curl (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10321101-Lever-Alternate-Biceps-Curl_Upper-Arms_small_thumbnail@3x.jpg
Bicep Curl (Suspension),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10701101-Suspender-Arm-Curl_Upper-Arms_small_thumbnail@3x.jpg
Bicycle Crunch,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00031201-air-bike-m_waist_thumbnail@3x.jpg
Bicycle Crunch Raised Legs,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01471201-Bycicle-Twisting-Crunch_Waist_thumbnail@3x.jpg
Bird Dog,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12411101-Bird-Dog-male_Back_small_thumbnail@3x.jpg
Box Jump,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05091101-Jump-Box_Plyometrics_small_thumbnail@3x.jpg
Box Squat (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00261101-Barbell-Bench-Squat_Hips_small_thumbnail@3x.jpg
Boxing,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/22731101-Boxing-Right-Cross_small_thumbnail@3x.jpg
Bulgarian Split Squat,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/22901101-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs_small_thumbnail@3x.jpg
Burpee,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/11601201-Burpee_Cardio_thumbnail@3x.jpg
Burpee Over the Bar,None
Butterfly (Pec Deck),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10301201-Lever-Pec-Deck-Fly_Chest_thumbnail@3x.jpg
Cable Core Palloff Press,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12021201-Cable-horizontal-Pallof-Press_waist_thumbnail@3x.jpg
Cable Crunch,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01751201-Cable-Kneeling-Crunch_Waist_thumbnail@3x.jpg
Cable Fly Crossovers,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12691201-Cable-Standing-Up-Straight-Crossovers_Chest_thumbnail@3x.jpg
Cable Pull Through,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12061201-Cable-pull-through_hips_thumbnail@3x.jpg
Cable Twist (Down to up),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12071201-Cable-twist-(down-up)_waist_thumbnail@3x.jpg
Cable Twist (Up to down),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08621201-Cable-twist-(up-down)_Waist_thumbnail@3x.jpg
Calf Extension (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/23151201-Lever-Rotary-Calf_Calves_thumbnail@3x.jpg
Calf Press (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/07381201-Sled-45-Calf-Press_Calves_thumbnail@3x.jpg
Chest Dip,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02511201-Chest-Dip_Chest_thumbnail@3x.jpg
Chest Dip (Assisted),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00091201-Assisted-Chest-Dip-(kneeling)_Chest_thumbnail@3x.jpg
Chest Dip (Weighted),None
Chest Fly (Band),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/09131101-Band-middle-fly_Chest_small_thumbnail@3x.jpg
Chest Fly (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03081201-Dumbbell-Fly_Chest_thumbnail@3x.jpg
Chest Fly (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05961201-Lever-Seated-Fly_Chest_thumbnail@3x.jpg
Chest Fly (Suspension),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10741101-Suspender-Fly_Chest_small_thumbnail@3x.jpg
Chest Press (Band),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/09201101-Band-standing-chest-press_Chest_small_thumbnail@3x.jpg
Chest Press (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05771201-Lever-Chest-Press_Chest_thumbnail@3x.jpg
Chest Supported Incline Row (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03271201-Dumbbell-Incline-Row_Back_thumbnail@3x.jpg
Chest Supported Reverse Fly (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03831201-Dumbbell-Reverse-Fly_Shoulders_thumbnail@3x.jpg
Chest Supported Y Raise (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/35411201-Dumbbell-Incline-Y-Raise_Shoulders__thumbnail_@3x.jpg
Chin Up,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/13261201-Chin-Up_Back_thumbnail@3x.jpg
Chin Up (Assisted),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05721301-assisted-chin-up_small_thumbnail@3x.jpg
Chin Up (Weighted),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/29871101-Weighted-Close-Grip-Chin-up-on-Dip-Cage_Back_small_thumbnail@3x.jpg
Clamshell,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/21501101-Resistance-Band-Clam_Hips_small_thumbnail@3x.jpg
Clap Push Ups,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12731101-Clap-Push-Up_Plyometrics_Chest_small_thumbnail@3x.jpg
Clean,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/15211101-Barbell-Hang-Clean-Below-the-Knees_Weightlifts_small_thumbnail@3x.jpg
Clean and Jerk,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00281201-Barbell-Clean-and-Press_Shoulders_thumbnail@3x.jpg
Clean and Press,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00281201-Barbell-Clean-and-Press_Shoulders_thumbnail@3x.jpg
Clean Pull,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/15171101-Barbell-Clean-Pull_Weightlifts_small_thumbnail@3x.jpg
Climbing,None
Concentration Curl,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02971201-Dumbbell-Concentration-Curl_Upper-Arms_thumbnail@3x.jpg
Cross Body Hammer Curl,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02981101-Dumbbell-Cross-Body-Hammer-Curl_Forearms_small_thumbnail@3x.jpg
Crunch,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02741201-Crunch-Floor-m_waist_thumbnail@3x.jpg
Crunch (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05951201-Lever-Seated-Crunch-(chest-pad)_thumbnail@3x.jpg
Crunch (Weighted),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08321101-Weighted-Crunch_waist_small_thumbnail@3x.jpg
Curtsy Lunge (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08811101-Dumbbell-Curtsey-lunge_Thighs_small_thumbnail@3x.jpg
Cycling,None
Dead Bug,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02761101-Dead-Bug_waist_small_thumbnail@3x.jpg
Dead Hang,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/50551101-Dead-Hang-Stretch_Stretching_small_thumbnail_@3x.jpg
Deadlift (Band),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08951101-Band-deadlift_Hips_small_thumbnail@3x.jpg
Deadlift (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00321201-Barbell-Deadlift_Hips-FIX_thumbnail@3x.jpg
Deadlift (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/04321201-Dumbbell-Stiff-Leg-Deadlift_Waist_thumbnail@3x.jpg
Deadlift (Smith Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/07521201-Smith-Deadlift_Hips_thumbnail@3x.jpg
Deadlift (Trap bar),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08111201-Trap-Bar-Deadlift_Thighs_thumbnail@3x.jpg
Deadlift High Pull,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/11991201-Sumo-Deadlift-High-Pull_Thighs_Shoulders_thumbnail@3x.jpg
Decline Bench Press (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00331201-Barbell-Decline-Bench-Press_Chest_thumbnail@3x.jpg
Decline Bench Press (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03011201-Dumbbell-Decline-Bench-Press_Chest_thumbnail@3x.jpg
Decline Bench Press (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/13001201-Lever-Decline-Chest-Press_Chest-FIX__thumbnail_@3x.jpg
Decline Bench Press (Smith Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/07531201-Smith-Decline-Bench-Press_Chest_thumbnail@3x.jpg
Decline Chest Fly (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03021201-Dumbbell-Decline-Fly_Chest_thumbnail@3x.jpg
Decline Crunch,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02771201-Decline-Crunch_Waist_thumbnail@3x.jpg
Decline Crunch (Weighted),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/21301201-Weighted-decline-crunch_Waist_thumbnail@3x.jpg
Decline Push Up,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02791201-Decline-Push-Up_Chest_thumbnail@3x.jpg
Diamond Push Up,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02831101-Diamond-Push-up_Upper-Arms_small_thumbnail@3x.jpg
Downward Dog,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/09491101-Downward-Facing-Dog-Adho-Mukha-Svanasana_small_thumbnail@3x.jpg
Drag Curl,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00381201-Barbell-Drag-Curl_Upper-Arms_thumbnail@3x.jpg
Dragon Flag,None
Dragonfly,None
Dumbbell Row,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02921201-Dumbbell-Bent-over-Row_Back_thumbnail@3x.jpg
Dumbbell Snatch,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/38881101-Dumbbell-One-Arm-Snatch_small_thumbnail@3x.jpg
Dumbbell Squeeze Press,None
Dumbbell Step Up,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/04311101-Dumbbell-Step-up_Hips_small_thumbnail@3x.jpg
Elbow to Knee,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/23121201-Lying-Elbow-to-Knee_Waist_thumbnail@3x.jpg
Elliptical Trainer,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/21921201-Elliptical-Machine-Walk_Cardio_thumbnail@3x.jpg
EZ Bar Biceps Curl,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/04471201-EZ-Barbell-Curl_Upper-Arms_thumbnail@3x.jpg
Face Pull,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08961101-Band-face-pull_Shoulders_small_thumbnail@3x.jpg
Farmers Walk,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/21331201-Farmers-walk_Cardio_thumbnail@3x.jpg
Fire Hydrants,None
Floor Press (Barbell),None
Floor Press (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/36681101-Dumbbell-Lying-on-Floor-Chest-Press_Chest_small_thumbnail@3x.jpg
Floor Triceps Dip,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08151201-Triceps-Dips-Floor_Upper-Arms_thumbnail@3x.jpg
Flutter Kicks,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12441201-Flutter-Kicks-(version-3)_Hips_thumbnail_@3x.jpg
Frog Jumps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/30881101-Frog-Hops-(male)_Plyometrics_small_thumbnail@3x.jpg
Frog Pumps (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/31821101-Weighted-Frog-Pump_Hips_small_thumbnail@3x.jpg
Front Lever Hold,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/32961101-Front-Lever_Waist_small_thumbnail@3x.jpg
Front Lever Raise,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/32961101-Front-Lever_Waist_small_thumbnail@3x.jpg
Front Raise (Band),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/09781101-Band-front-raise_Shoulders_small_thumbnail@3x.jpg
Front Raise (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00411101-Barbell-Front-Raise_Shoulders_thumbnail@3x.jpg
Front Raise (Cable),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01621201-Cable-Front-Raise_Shoulders_thumbnail@3x.jpg
Front Raise (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03101201-Dumbbell-Front-Raise_Shoulders_thumbnail@3x.jpg
Front Raise (Suspension),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10751101-Suspender-Front-Raise_Shoulders_small_thumbnail@3x.jpg
Front Squat,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00421201-Barbell-Front-Squat_Hips_thumbnail@3x.jpg
Full Squat,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00431201-Barbell-Full-Squat_Thighs_thumbnail@3x.jpg
Glute Bridge,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/06681101-Rear-Decline-Bridge_Waist_small_thumbnail@3x.jpg
Glute Ham Raise,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/31931101-Glute-Ham-Raise_Thighs_small_thumbnail@3x.jpg
Glute Kickback (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10371201-Lever-Standing-Rear-Kick_Hips_thumbnail@3x.jpg
Glute Kickback on Floor,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/14741201-Bent-Leg-Kickback-(kneeling)_Hips_thumbnail@3x.jpg
Goblet Squat,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/22811201-Dumbbell-Goblet-Squat-(female)_Thighs_thumbnail@3x.jpg
Good Morning (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00441201-Barbell-Good-Morning_Thighs_thumbnail@3x.jpg
Gorilla Row (Kettlebell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/72301201-Kettlebell-Gorilla-Row-(male)_Back__thumbnail_@3x.jpg
Hack Squat,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00461201-Barbell-Hack-Squat_Hips_thumbnail@3x.jpg
Hack Squat (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/07431201-Sled-Hack-Squat_Hips_thumbnail@3x.jpg
Hammer Curl (Band),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08971101-Band-hammer-curl_Forearms_small_thumbnail@3x.jpg
Hammer Curl (Cable),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01661201-Cable-Hammer-Curl_Forearm_thumbnail@3x.jpg
Hammer Curl (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03121201-Dumbbell-Hammer-Curl-(version-2)_Upper-Arms_thumbnail@3x.jpg
Handstand Hold,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/33021101-Handstand_Upper-arms_small_thumbnail@3x.jpg
Handstand Push Up,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/04711101-Handstand-Push-Up_Shoulders_small_thumbnail@3x.jpg
Hang Clean,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/15201101-Barbell-Hang-Clean_Weightlifts_small_thumbnail@3x.jpg
Hang Snatch,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/15221101-Barbell-Hang-Snatch_Weightlifts_small_thumbnail@3x.jpg
Hanging Knee Raise,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/04721101-Hanging-Leg-Raise_Hips_small_thumbnail@3x.jpg
Hanging Leg Raise,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/17641201-Hanging-Leg-Hip-Raise_Waist_thumbnail@3x.jpg
Heel Taps,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00061101-Alternate-Heel-Touchers_waist-FIX_small_thumbnail@3x.jpg
Hex Press (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/36811201-Dumbbell-Squeeze-Bench-Press_Chest-FIX__thumbnail_@3x.jpg
High Knee Skips,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/04771101-High-Knee-Skips_Cardio_small_thumbnail@3x.jpg
High Knees,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08291101-Walk-(high-knees)_Cardio_small_thumbnail@3x.jpg
HIIT,None
Hiking,None
Hip Abduction (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05971201-Lever-Seated-Hip-Abduction_Hips_thumbnail@3x.jpg
Hip Adduction (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05981201-Lever-Seated-Hip-Adduction_Thighs_thumbnail@3x.jpg
Hip Thrust,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/20721101-Hip-Thrusts_Hips-FIX_small_thumbnail@3x.jpg
Hip Thrust (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10601101-Barbell-Hip-Thrust_Hips_small_thumbnail@3x.jpg
Hip Thrust (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/21461201-Lever-Hip-Thrust_Hips_thumbnail_@3x.jpg
Hollow Rock,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12461101-Hollow-Hold_Waist_small_thumbnail@3x.jpg
Incline Bench Press (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00471201-Barbell-Incline-Bench-Press_Chest_thumbnail@3x.jpg
Incline Bench Press (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03141201-Dumbbell-Incline-Bench-Press_Chest_thumbnail@3x.jpg
Incline Bench Press (Smith Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/07571201-Smith-Incline-Bench-Press_Chest_thumbnail@3x.jpg
Incline Chest Fly (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/03191201-Dumbbell-Incline-Fly_Chest_thumbnail@3x.jpg
Incline Chest Press (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/14791201-Lever-Incline-Chest-Press_Chest_thumbnail@3x.jpg
Incline Push Ups,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/37851201-Incline-Push-Up-(on-box)_thumbnail@3x.jpg
Inverted Row,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/04991201-Inverted-Row_Back_thumbnail@3x.jpg
Iso-Lateral Chest Press (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05761201-Lever-Chest-Press-(plate-loaded)_Chest_thumbnail@3x.jpg
Iso-Lateral High Row (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05811101-Lever-High-Row-(plate-loaded)_Back_small_thumbnail@3x.jpg
Iso-Lateral Low Row,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/42141201-Lever-Low-Row-(plate-loaded)_Back__thumbnail_@3x.jpg
Iso-Lateral Row (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05881101-Lever-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small_thumbnail@3x.jpg
Jack Knife (Suspension),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/10821101-Suspender-Jack-knife_Waist_small_thumbnail@3x.jpg
Jackknife Sit Up,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05071301-jackknife-sit-up_small_thumbnail@3x.jpg
JM Press (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00521201-Barbell-JM-Bench-Press_Upper-Arms-FIX_-2_thumbnail_@3x.jpg
Jump Rope,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05111101-Jump-Rope_Cardio_small_thumbnail@3x.jpg
Jump Shrug,None
Jump Squat,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05141201-Jump-Squat_Thighs_thumbnail@3x.jpg
Jumping Jack,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05161101-Jumping-Jack_Cardio_small_thumbnail@3x.jpg
Jumping Lunge,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/11661201-Jump-Split-m_Plyometrics_thumbnail@3x.jpg
Kettlebell Clean,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/45431101-Kettlebell-One-Arm-Clean_Weightlifting_small_thumbnail@3x.jpg
Kettlebell Curl,None
Kettlebell Goblet Squat,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05341101-Kettlebell-Goblet-Squat_thighs_small_thumbnail@3x.jpg
Kettlebell High Pull,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05481101-Kettlebell-Sumo-High-Pull_back_small_thumbnail@3x.jpg
Kettlebell Shoulder Press,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/35721101-Kettlebell-Strict-Press_Shoulders_small_thumbnail@3x.jpg
Kettlebell Snatch,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05421101-Kettlebell-One-Arm-Snatch_Shoulders_small_thumbnail@3x.jpg
Kettlebell Swing,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05491101-Kettlebell-Swing_Kettlebell_small_thumbnail@3x.jpg
Kettlebell Turkish Get Up,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05511101-Kettlebell-Turkish-Get-Up-(Squat-style)_Thighs_small_thumbnail@3x.jpg
Kipping Pull Up,None
Knee Raise Parallel Bars,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/21261201-Captains-chair-leg-raise_Hips_thumbnail@3x.jpg
Kneeling Pulldown (band),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/09051101-Band-kneeling-pulldown_Back_small_thumbnail@3x.jpg
